movie_id,movie_name,movie_year,duration_min,rated,movie_rating,vote_count
104,104. The Wolf of Wall Street,2013,-1,R,8.2,1600000.0
105,105. Green Book,2018,130,PG-13,8.2,556000.0
106,106. Shutter Island,2010,138,R,8.2,1400000.0
107,107. The Truman Show,1998,103,PG,8.2,1200000.0
108,108. The Treasure of the Sierra Madre,1948,126,Passed,8.2,131000.0
109,109. Casino,1995,178,R,8.2,558000.0
110,110. There Will Be Blood,2007,158,R,8.2,635000.0
111,111. Jurassic Park,1993,127,PG-13,8.2,1100000.0
112,112. Unforgiven,1992,130,R,8.2,433000.0
113,113. The Sixth Sense,1999,107,PG-13,8.2,1000000.0
114,114. A Beautiful Mind,2001,135,PG-13,8.2,979000.0
115,115. The Great Escape,1963,172,Approved,8.2,257000.0
116,116. The Thing,1982,109,R,8.2,461000.0
117,117. No Country for Old Men,2007,122,R,8.2,1000000.0
118,118. Monty Python and the Holy Grail,1975,91,PG,8.2,566000.0
119,119. Kill Bill: Vol. 1,2003,111,R,8.2,1200000.0
120,120. The Elephant Man,1980,124,PG,8.2,256000.0
121,121. Gone with the Wind,1939,238,Passed,8.2,331000.0
122,122. Dial M for Murder,1954,105,PG,8.2,187000.0
123,123. Finding Nemo,2003,100,G,8.2,1100000.0
124,124. Spider-Man: No Way Home,2021,148,PG-13,8.2,862000.0
125,125. Chinatown,1974,130,R,8.1,346000.0
126,126. Klaus,2019,96,PG,8.2,186000.0
127,127. V for Vendetta,2005,132,R,8.2,1200000.0
128,128. Prisoners,2013,153,R,8.1,796000.0
129,129. The Bridge on the River Kwai,1957,161,PG,8.1,232000.0
130,"130. Lock, Stock and Two Smoking Barrels",1998,107,R,8.1,611000.0
131,131. Raging Bull,1980,129,R,8.1,377000.0
132,132. Inside Out,2015,95,PG,8.1,775000.0
133,133. Warrior,2011,140,PG-13,8.1,494000.0
134,"134. Three Billboards Outside Ebbing, Missouri",2017,115,R,8.1,549000.0
135,135. Trainspotting,1996,93,R,8.1,720000.0
136,136. To Be or Not to Be,1942,99,Passed,8.1,42000.0
137,137. Barry Lyndon,1975,185,PG,8.1,181000.0
138,138. Fargo,1996,98,R,8.1,719000.0
139,139. Catch Me If You Can,2002,141,PG-13,8.1,1100000.0
140,140. Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,938000.0
141,141. Ben-Hur,1959,212,G,8.1,251000.0
142,142. Gran Torino,2008,116,R,8.1,809000.0
143,143. Mr. Smith Goes to Washington,1939,129,Passed,8.1,121000.0
144,144. The Best Years of Our Lives,1946,170,Approved,8.1,70000.0
145,145. Before Sunrise,1995,101,R,8.1,335000.0
146,146. In the Name of the Father,1993,133,R,8.1,186000.0
147,147. On the Waterfront,1954,108,Approved,8.1,163000.0
148,148. Million Dollar Baby,2004,132,PG-13,8.1,717000.0
149,149. Blade Runner,1982,117,R,8.1,815000.0
150,150. Mary and Max,2009,92,Not Rated,8.1,186000.0
151,151. 12 Years a Slave,2013,134,R,8.1,736000.0
152,152. Hacksaw Ridge,2016,139,R,8.1,585000.0
153,153. The Grand Budapest Hotel,2014,99,R,8.1,877000.0
154,154. The Third Man,1949,93,Approved,8.1,180000.0
155,155. Dead Poets Society,1989,128,PG,8.1,537000.0
156,156. Gone Girl,2014,149,R,8.1,1100000.0
157,157. The Deer Hunter,1978,183,R,8.1,359000.0
158,158. How to Train Your Dragon,2010,98,PG,8.1,792000.0
159,159. Mad Max: Fury Road,2015,-1,R,8.1,1100000.0
160,160. Ford v Ferrari,2019,152,PG-13,8.1,456000.0
161,"161. Monsters, Inc.",2001,92,G,8.1,969000.0
162,162. Jaws,1975,124,PG,8.1,653000.0
163,163. The Grapes of Wrath,1940,129,Passed,8.1,99000.0
164,164. Ratatouille,2007,111,G,8.1,812000.0
165,165. The Red Shoes,1948,135,Not Rated,8.1,39000.0
166,166. Room,2015,118,R,8.1,446000.0
167,167. The Big Lebowski,1998,117,R,8.1,853000.0
168,168. All Quiet on the Western Front,1930,152,Passed,8.1,67000.0
169,169. Hotel Rwanda,2004,121,PG-13,8.1,370000.0
170,170. Rocky,1976,-1,PG,8.1,622000.0
171,171. Logan,2017,137,R,8.1,820000.0
172,172. Network,1976,121,R,8.1,169000.0
173,173. Paper Moon,1973,102,PG,8.1,52000.0
174,174. Hachi: A Dog's Tale,2009,93,G,8.1,308000.0
175,175. Before Sunset,2004,80,R,8.1,285000.0
176,176. Spotlight,2015,129,R,8.1,498000.0
177,177. Platoon,1986,-1,R,8.1,436000.0
178,178. The Sound of Music,1965,172,G,8.1,258000.0
179,179. It Happened One Night,1934,105,Passed,8.1,111000.0
180,180. Rebecca,1940,130,Approved,8.1,145000.0
181,181. Rush,2013,123,R,8.1,508000.0
182,182. The Terminator,1984,107,R,8.1,916000.0
183,183. Stand by Me,1986,89,R,8.1,437000.0
184,184. The Wizard of Oz,1939,102,G,8.1,425000.0
185,185. The Exorcist,1973,122,R,8.1,450000.0
186,186. Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,1200000.0
187,187. Cool Hand Luke,1967,127,GP,8.1,187000.0
188,188. Into the Wild,2007,148,R,8.1,653000.0
189,189. The Man Who Shot Liberty Valance,1962,123,Approved,8.1,82000.0
190,"190. Paris, Texas",1984,145,R,8.1,117000.0
191,191. Inherit the Wind,1960,128,Passed,8.1,33000.0
192,192. The Iron Giant,1999,86,PG,8.1,223000.0
193,193. The Incredibles,2004,115,PG,8.0,799000.0
194,194. Ace in the Hole,1951,111,Approved,8.1,39000.0
195,195. White Heat,1949,114,Not Rated,8.1,35000.0
196,196. The Help,2011,146,PG-13,8.1,488000.0
197,197. Groundhog Day,1993,101,PG,8.0,678000.0
198,198. Gandhi,1982,191,PG,8.0,239000.0
199,199. Scent of a Woman,1992,156,R,8.0,325000.0
200,200. Dances with Wolves,1990,181,PG-13,8.0,287000.0
201,201. Life of Brian,1979,94,R,8.0,420000.0
202,202. Beauty and the Beast,1991,84,G,8.0,476000.0
203,203. Aladdin,1992,90,G,8.0,461000.0
204,204. Guardians of the Galaxy,2014,121,PG-13,8.0,1300000.0
205,205. Roman Holiday,1953,118,Passed,8.0,146000.0
206,206. Kill Bill: Vol. 2,2004,137,R,8.0,797000.0
207,207. Dog Day Afternoon,1975,125,R,8.0,271000.0
208,208. A Woman Under the Influence,1974,155,R,8.1,28000.0
209,209. Soul,2020,100,PG,8.0,373000.0
210,210. Lion,2016,118,PG-13,8.0,249000.0
211,211. JFK,1991,189,R,8.0,169000.0
212,212. Song of the Sea,2014,93,PG,8.0,63000.0
213,213. The Princess Bride,1987,98,PG,8.0,448000.0
214,214. Rosemary's Baby,1968,137,Approved,8.0,233000.0
215,215. Donnie Darko,2001,113,R,8.0,843000.0
216,216. Anatomy of a Murder,1959,161,Not Rated,8.0,71000.0
217,217. Brief Encounter,1945,86,Not Rated,8.0,44000.0
218,218. Slumdog Millionaire,2008,-1,R,8.0,873000.0
219,219. The Shop Around the Corner,1940,99,Not Rated,8.0,38000.0
220,220. The Imitation Game,2014,114,PG-13,8.0,817000.0
221,221. La La Land,2016,128,PG-13,8.0,657000.0
222,222. Butch Cassidy and the Sundance Kid,1969,110,PG,8.0,226000.0
